,election,race,candidate,votes
0,2015 Municipal General - 2/24/15,Mayor,RAHM EMANUEL,218217
1,2015 Municipal General - 2/24/15,Mayor,WILLIE WILSON,50960
2,2015 Municipal General - 2/24/15,Mayor,ROBERT W. FIORETTI,35363
3,2015 Municipal General - 2/24/15,Mayor,JESUS ''CHUY'' GARCIA,160414
4,2015 Municipal General - 2/24/15,Mayor,"WILLIAM WALLS, III",13250
0,2015 Municipal General - 2/24/15,W45 Elected School Board,Yes,10624
1,2015 Municipal General - 2/24/15,W45 Elected School Board,No,1860
0,2015 Municipal General - 2/24/15,W46 Elected School Board,Yes,8253
1,2015 Municipal General - 2/24/15,W46 Elected School Board,No,1667
0,2015 Municipal General - 2/24/15,W47 Elected School Board,Yes,10127
1,2015 Municipal General - 2/24/15,W47 Elected School Board,No,1923
0,2015 Municipal General - 2/24/15,W49 Elected School Board,Yes,7438
1,2015 Municipal General - 2/24/15,W49 Elected School Board,No,1113
0,2015 Municipal General - 2/24/15,W50 Elected School Board,Yes,6101
1,2015 Municipal General - 2/24/15,W50 Elected School Board,No,1179
0,2015 Municipal General - 2/24/15,City Clerk,SUSANA A. MENDOZA,392099
0,2015 Municipal General - 2/24/15,City Treasurer,KURT A. SUMMERS,363446
0,2015 Municipal General - 2/24/15,Alderman 1st Ward,PROCO ''JOE'' MORENO,4205
1,2015 Municipal General - 2/24/15,Alderman 1st Ward,ANNE SHAW,2037
2,2015 Municipal General - 2/24/15,Alderman 1st Ward,ANDREW HAMILTON,310
3,2015 Municipal General - 2/24/15,Alderman 1st Ward,RONDA LOCKE,1680
0,2015 Municipal General - 2/24/15,Alderman 2nd Ward,STEPHEN NIKETOPOULOS,1232
1,2015 Municipal General - 2/24/15,Alderman 2nd Ward,BITA BUENROSTRO,1411
2,2015 Municipal General - 2/24/15,Alderman 2nd Ward,BRIAN HOPKINS,2889
3,2015 Municipal General - 2/24/15,Alderman 2nd Ward,ALYX S. PATTISON,2404
4,2015 Municipal General - 2/24/15,Alderman 2nd Ward,CORNELL WILSON,863
5,2015 Municipal General - 2/24/15,Alderman 2nd Ward,STACEY PFINGSTEN,1170
0,2015 Municipal General - 2/24/15,Alderman 3rd Ward,PAT DOWELL,7441
1,2015 Municipal General - 2/24/15,Alderman 3rd Ward,PATRICIA HORTON,2768
0,2015 Municipal General - 2/24/15,Alderman 4th Ward,TRACEY Y BEY,2862
1,2015 Municipal General - 2/24/15,Alderman 4th Ward,WILLIAM D. BURNS,6353
2,2015 Municipal General - 2/24/15,Alderman 4th Ward,NORMAN H BOLDEN,2214
0,2015 Municipal General - 2/24/15,Alderman 5th Ward,LESLIE A. HAIRSTON,5851
1,2015 Municipal General - 2/24/15,Alderman 5th Ward,TIFFANY N. BROOKS,891
2,2015 Municipal General - 2/24/15,Alderman 5th Ward,JOCELYN HARE,821
3,2015 Municipal General - 2/24/15,Alderman 5th Ward,ROBIN BOYD CLARK,599
4,2015 Municipal General - 2/24/15,Alderman 5th Ward,JEDIDIAH L. BROWN,792
5,2015 Municipal General - 2/24/15,Alderman 5th Ward,ANNE MARIE MILES,2181
0,2015 Municipal General - 2/24/15,Alderman 6th Ward,RODERICK T. SAWYER,5990
1,2015 Municipal General - 2/24/15,Alderman 6th Ward,RICHARD A. WOOTEN,2800
2,2015 Municipal General - 2/24/15,Alderman 6th Ward,BRIAN T. GARNER,1869
0,2015 Municipal General - 2/24/15,Alderman 7th Ward,"JOSEPH J. MOSELEY, II",761
1,2015 Municipal General - 2/24/15,Alderman 7th Ward,GREGORY I. MITCHELL,2085
2,2015 Municipal General - 2/24/15,Alderman 7th Ward,LASHONDA CURRY,1333
3,2015 Municipal General - 2/24/15,Alderman 7th Ward,KEIANA BARRETT,1923
4,2015 Municipal General - 2/24/15,Alderman 7th Ward,FLORA ''FLO'' DIGBY,1143
5,2015 Municipal General - 2/24/15,Alderman 7th Ward,NATASHIA L. HOLMES,2642
6,2015 Municipal General - 2/24/15,Alderman 7th Ward,BERNIE RILEY,125
7,2015 Municipal General - 2/24/15,Alderman 7th Ward,MARGIE REID,362
0,2015 Municipal General - 2/24/15,Alderman 8th Ward,MICHELLE A. HARRIS,9167
1,2015 Municipal General - 2/24/15,Alderman 8th Ward,FAHEEM SHABAZZ,2113
2,2015 Municipal General - 2/24/15,Alderman 8th Ward,TARA F. BALDRIDGE,2096
0,2015 Municipal General - 2/24/15,Alderman 9th Ward,ANTHONY A. BEALE,7307
1,2015 Municipal General - 2/24/15,Alderman 9th Ward,MICHAEL E. LAFARGUE,1822
2,2015 Municipal General - 2/24/15,Alderman 9th Ward,HAROLD ''NOONIE'' WARD,1225
3,2015 Municipal General - 2/24/15,Alderman 9th Ward,THEODORE WILLIAMS,1352
0,2015 Municipal General - 2/24/15,Alderman 10th Ward,JOHN A. POPE,4181
1,2015 Municipal General - 2/24/15,Alderman 10th Ward,SUSAN SADLOWSKI GARZA,2287
2,2015 Municipal General - 2/24/15,Alderman 10th Ward,"RICHARD L. MARTINEZ, JR.",1191
3,2015 Municipal General - 2/24/15,Alderman 10th Ward,FRANK J. CORONA,307
4,2015 Municipal General - 2/24/15,Alderman 10th Ward,SAMANTHA M. WEBB,510
5,2015 Municipal General - 2/24/15,Alderman 10th Ward,OLGA BAUTISTA,208
6,2015 Municipal General - 2/24/15,Alderman 10th Ward,JUAN B. HUIZAR,809
0,2015 Municipal General - 2/24/15,Alderman 11th Ward,JOHN K. KOZLAR,3399
1,2015 Municipal General - 2/24/15,Alderman 11th Ward,PATRICK DALEY THOMPSON,4644
2,2015 Municipal General - 2/24/15,Alderman 11th Ward,MAUREEN F. SULLIVAN,1558
0,2015 Municipal General - 2/24/15,Alderman 12th Ward,GEORGE CARDENAS,3379
0,2015 Municipal General - 2/24/15,Alderman 13th Ward,MARTY QUINN,10064
0,2015 Municipal General - 2/24/15,Alderman 14th Ward,EDWARD M. BURKE,5028
0,2015 Municipal General - 2/24/15,Alderman 15th Ward,ADOLFO MONDRAGON,280
1,2015 Municipal General - 2/24/15,Alderman 15th Ward,RAYMOND A. LOPEZ,2168
2,2015 Municipal General - 2/24/15,Alderman 15th Ward,RAFAEL YANEZ,1007
3,2015 Municipal General - 2/24/15,Alderman 15th Ward,EDDIE L. DANIELS,309
4,2015 Municipal General - 2/24/15,Alderman 15th Ward,"OTIS DAVIS, JR.",462
5,2015 Municipal General - 2/24/15,Alderman 15th Ward,RAUL O. REYES,324
0,2015 Municipal General - 2/24/15,Alderman 16th Ward,JOANN THOMPSON,115
1,2015 Municipal General - 2/24/15,Alderman 16th Ward,CYNTHIA LOMAX,357
